filename,name,version
src/Nri/Ui/ClickableSvg/V1.elm,Nri.Ui.Tooltip,1
src/Nri/Ui/Page/V3.elm,Nri.Ui.Text,2
src/Nri/Ui/SlideModal/V2.elm,Nri.Ui.Button,8
src/Nri/Ui/SlideModal/V2.elm,Nri.Ui.Text,2
src/Nri/Ui/Button/V8.elm,Html,DEPRECATED
src/Nri/Ui/Menu/V1.elm,Nri.Ui.Tooltip,1
src/Nri/Ui/Icon/V3.elm,Accessibility.Role,DEPRECATED
src/Nri/Ui/Icon/V3.elm,Html,DEPRECATED
src/Nri/Ui/Icon/V5.elm,Accessibility.Role,DEPRECATED
src/Nri/Ui/Icon/V5.elm,Html,DEPRECATED
src/Nri/Ui/Icon/V4.elm,Accessibility.Role,DEPRECATED
src/Nri/Ui/Icon/V4.elm,Html,DEPRECATED
src/Nri/Ui/Modal/V3.elm,Nri.Ui.Icon,3
tests/Spec/Nri/Ui/Tooltip.elm,Accessibility.Aria,DEPRECATED
tests/Spec/Nri/Ui/Tooltip.elm,Accessibility.Widget,DEPRECATED
tests/Spec/Nri/Ui/Tooltip.elm,Html,DEPRECATED
tests/Spec/Nri/Ui/Select.elm,Html,DEPRECATED
tests/Spec/Nri/Ui/Select.elm,Nri.Ui.Select,5
